irep,clh,resch,klun,kbra,khrt,kskn,kmus,kadi,kspl,kgio,khep,kkid,kres
1,20.30874050174895,0.8771455823236253,2.636662550557355,0.3152554949469681,5.213244789300704,1.1534040690736962,0.7563461519785317,0.8444114258992109,2.7772019792926748,6.205042634877388,2.7427281508589596,3.0913789688273567,2.201386086334023
2,8.961126118096,0.5727329297484258,1.6390827105132821,0.9737469956868412,2.189933871985769,1.1224025711090564,0.8892568446739991,0.4562223919815918,1.0310334284189335,3.668557465354875,3.3771666740698842,7.325480084494311,4.416335818558718
3,18.682790138314502,0.6082720501290624,3.0175550404234386,1.0414793854459485,7.435786970218908,0.9855743219083127,1.39006011029608,0.16938288803557697,2.2906266169549463,6.168721609866035,3.3754700927456796,6.838353394747214,2.364577352199136
4,15.583257676520624,0.80597279040337,3.918340431273626,0.4733996464760353,4.023261696487848,0.8239063461320865,1.1146028146066351,0.5420251791954684,2.493555284546444,1.665218022929357,8.510272999643044,7.08479292040887,2.835829817725259
5,11.861237215544955,0.8628836923791501,2.031609711730021,0.7171705983568621,3.6666000740475386,0.6590655571621986,0.7342850475242957,0.2873810367742915,2.019812520305978,3.2876402614064655,4.133063152239987,8.618393329520215,3.4967871252288187
6,12.4782357550509,0.7246689518750257,5.6547040583159704,0.7956546273219716,1.879375579983315,1.1549279444861977,0.49769567406047815,0.8109929238974314,0.788624678246932,2.934707288659069,2.5751599351862353,9.752873249835183,4.55337941379362
7,16.15113691963453,0.7230091557350357,3.8330991415129017,1.1214539714282783,1.8035789177310464,0.6609294677725357,0.8909845401748703,0.8415195110377822,1.2203687622831532,4.2297954710722045,2.456148723574511,11.264264686497176,3.1945222995246825
8,18.787215918204314,0.8611619090007901,4.276385925606193,0.5515877129257339,4.40864043028376,0.6541229449876692,1.7085378784697305,0.4830585418879299,0.4315986233214398,3.843565527498933,4.337628221453024,4.770139124733788,3.7647034302217763
9,23.644768675600986,0.7592464290846089,4.935608508503688,0.8509909430952118,2.36474680234717,2.2048933908277677,0.8871755299754359,0.5147764515682995,1.7005436952006419,3.6166527876967582,1.8326629012362197,6.680194298027072,5.977862882053443
10,20.49378256904248,0.575583790088944,6.982520531716871,1.0206196219181645,1.9212272113920927,0.7960981252603545,1.0112850867508927,0.4172218761615716,3.175788411574591,3.867976852163019,2.953824603744905,12.614995130231668,2.8398297860843558
11,14.507777256593785,0.59019665411411,3.6193035725735756,0.569744300714674,1.0851451955399956,0.8508609708706029,0.35597421221044784,0.13575704463110252,2.466133561378717,4.063273923113705,4.765157707919581,21.97888680516325,7.195450121489324
12,14.321060719554948,0.5752492740571014,4.396697656296586,1.2275577207721649,3.322468473373668,2.1868589105258103,0.8167239898704677,0.5241657905623139,2.6818749582792987,1.0707647607489064,5.47015282494411,7.549287915853696,3.8881152306953055
13,12.295955344464714,1.1983124107570367,2.190878130652901,0.3325292931374575,4.596573869458173,0.33936560427976126,0.5605412641145452,0.2874247813303611,1.6558364238242929,3.816974202482161,4.105416250743549,11.05237010443015,3.5792833511274638
14,15.0482911290889,0.4597380792562213,1.621325322638086,0.32885375857257326,2.4446681169345594,1.0333537277922351,0.7216111619763677,0.28302218821901437,2.356446128304634,2.762504934608246,4.575969632826045,5.756315558864738,4.76510293411968
15,7.437893498856978,0.5547691931139695,5.527141302310656,0.7342779261244019,3.5603944293482805,0.3903309708657537,1.3211021436214654,0.9767026533349703,3.165650401321918,3.607611254156668,3.03805256427533,6.246220425561625,6.10888948552716
16,13.015078809189024,0.5686622937358892,6.423573198578641,1.386179533729231,2.7109962835766805,0.4059446936506206,1.3132116464909742,0.5136606460486203,1.561892625529445,3.2324908657121014,2.1453472999906107,13.246445206275448,2.5410300086584567
17,10.835032626303585,0.9501067008125377,1.9511367552994177,0.33309148995476057,3.987514962685437,0.7174079636050257,0.7913868481852641,0.22836500325779505,1.9601713888611418,1.4207663199058322,3.0958378119327516,3.6122719380833077,3.447162116109012
18,8.151645831266128,0.7080601731742273,3.867001113383847,1.3055999569558372,4.197205143692136,0.6660629270465479,1.348818316227663,0.45894174808679233,1.411859641898241,1.8269180934072786,4.195206339652662,10.046512743322628,3.3730451073507575
19,12.318830574540282,0.6768196328932737,3.157948089520237,0.755858786221719,2.3571770555818836,0.5411506177016234,0.5346182723971677,0.3768236906255774,1.3012855031238326,3.175596123509168,2.0632463044464195,10.580608345253053,2.766459369281051
20,24.18272284324068,0.6460714809916291,1.6782940589030233,0.9922157690884646,7.650396520272017,1.0287830766433337,0.9669939862249288,0.35688674022972183,2.5603885552600008,4.0896099661898715,3.667753618258183,12.25796448403816,4.07414638353092
